galaxy_id,log_baryonic_mass,parameter_A,parameter_alpha,v_obs_flat
NGC7814_rotmod.csv,10.903239773506025,255.17474445888817,-0.06371676742294645,214.0
NGC3949_rotmod.csv,10.63525895305949,115.4931797232209,0.20140693721767639,169.0
UGC02916_rotmod.csv,11.254841523872033,208.90009663792404,-0.0004543198765497629,181.0
NGC2903_rotmod.csv,10.94693483246951,154.39883234808028,0.08794146568671483,180.0
UGC01281_rotmod.csv,8.940148031755298,23.04912841643072,0.6478777946623335,56.9
NGC2366_rotmod.csv,9.085501051962535,26.783591247689234,0.42467969794121724,49.4
UGC07690_rotmod.csv,9.150373531353456,53.64172730917992,0.07303810324737402,55.9
UGC06787_rotmod.csv,11.051335335617498,236.61369591374918,0.0074462185006408926,255.0
UGC05414_rotmod.csv,9.216477734133024,28.905230970644844,0.5537992356079755,61.4
NGC4088_rotmod.csv,11.109419814745868,111.34560363272827,0.16619152814811108,174.0
F571-8_rotmod.csv,10.063282462470172,50.70407767361245,0.421267120933474,144.0
NGC3109_rotmod.csv,8.905174277658242,23.078339291727936,0.6090140488340712,67.3
NGC6674_rotmod.csv,11.407562906142745,259.0626890862852,-0.010755344581618994,242.0
NGC5585_rotmod.csv,9.762575329728831,41.23635496098089,0.37102121175441954,89.4
ESO116-G012_rotmod.csv,9.876955465015785,52.49565400333076,0.36915286441172523,112.0
UGC06930_rotmod.csv,10.217368377364034,60.195131772396806,0.22880676888884946,108.0
UGC08699_rotmod.csv,10.781341103077487,184.76609085828832,-0.0020122544303249955,183.0
F579-V1_rotmod.csv,10.257492046617884,72.80627487909416,0.19880493924483583,114.0
UGC06628_rotmod.csv,9.753419726139171,30.268427481213667,0.1900044633933273,42.3
UGC11455_rotmod.csv,11.63856948952517,122.69267655491855,0.25471118587979774,266.0
NGC4051_rotmod.csv,10.931343778579784,106.32486722765579,0.16622843228017944,153.0
DDO064.csv,8.532187295617293,28.137433790609318,0.605602465535735,46.9
DDO154_rotmod.csv,8.591769458341258,24.705437562873104,0.41434481311564714,45.5
UGC07089_rotmod.csv,9.77037723741993,27.504980543002272,0.4900270258457625,79.1
NGC4085_rotmod.csv,10.459655113246253,62.20826967050807,0.47274074973228053,136.0
CamB_rotmod.csv,8.050746828636361,11.862880733522537,0.9296728065355715,20.1
UGCA281_rotmod.csv,7.977074426979818,30.61930420508218,0.48925746255700725,29.5
UGC02455_rotmod.csv,9.682979801457739,21.772741200965612,0.694936926372333,61.0
KK98-251_rotmod.csv,8.522954323681196,16.93915733368601,0.7276822973220906,34.2
IC2574_rotmod.csv,9.494503856328693,13.937634709571533,0.6838516005336285,67.5
UGC00891_rotmod.csv,9.089439504716573,23.06160347892211,0.5308156872305548,63.75
UGCA444_rotmod.csv,8.123752096264518,23.47635436277413,0.5158678182287169,38.3
UGC06983_rotmod.csv,10.067804514168488,69.36347078866255,0.18523436659322406,109.0
UGC05986_rotmod.csv,9.83548848732665,58.925089786070316,0.336808655227108,107.0
UGC04278_rotmod.csv,9.615178824550464,26.212937588246355,0.6615502358068764,92.8
UGC05764_rotmod.csv,8.632808477415377,38.512362053053195,0.30893295242029234,49.9
UGC08837_rotmod.csv,9.066277901694399,14.867497391668229,0.861042376948046,48.0
UGC05829_rotmod.csv,9.411697224089759,22.489500586913916,0.5772238625122176,68.6
UGC07866_rotmod.csv,8.40675029790734,22.620329395041725,0.4563465383560885,33.1
NGC3521_rotmod.csv,10.98653942393572,192.26546545363124,0.0594812126052392,206.0
UGC04325_rotmod.csv,9.579692659812533,60.03272314787456,0.2937560256920917,91.5
UGC07608_rotmod.csv,8.973321059774959,28.6069841234999,0.5913605375861374,69.3
UGC07261_rotmod.csv,9.51668266290875,51.5014383161444,0.21985370814725108,76.1
NGC2683_rotmod.csv,10.923661893363288,242.11385349944925,-0.11700425104086003,151.0
NGC4010_rotmod.csv,10.35381079719632,46.790159548031674,0.45802652309813024,122.0
UGC08286_rotmod.csv,9.4314564119873,50.82304470381975,0.278051105915948,84.3
DDO170_rotmod.csv,9.384418779985612,27.602729185397905,0.34274363959338766,62.2
DDO170.csv,9.249801416099267,27.602729185397905,0.34274363959338766,62.2
DDO064_rotmod.csv,8.73701289542526,28.137433790609318,0.605602465535735,46.9
NGC5985_rotmod.csv,11.46388102575792,232.129601426743,0.07836143933919382,285.0
UGC06446_rotmod.csv,9.569491154779655,51.00654441249799,0.2390117587682979,80.1
NGC0300_rotmod.csv,9.671562448216022,48.576867338178246,0.2946163764291853,93.5
UGC10310_rotmod.csv,9.599870004444272,40.05574694486572,0.3263811180550061,73.2
UGC06923_rotmod.csv,9.640358545820062,43.636736434757296,0.40729317117682273,81.1
NGC0289_rotmod.csv,11.07789953297781,180.44389638688148,-0.013873418174750365,165.0
UGC11914_rotmod.csv,11.181503184097735,257.00450386695127,0.07793781663368106,305.0
UGC09037_rotmod.csv,10.98902986632305,72.82064002783655,0.24667830636741866,152.0
NGC4214_rotmod.csv,9.161338554779807,68.19344736679942,0.11744033768221145,80.6
NGC7793_rotmod.csv,9.99780784102786,64.09765052780352,0.3233092499478224,90.8
NGC6503_rotmod.csv,10.218760280672141,102.82533342711257,0.04680522025832565,115.0
PGC51017_rotmod.csv,8.541127518489253,19.575811930732282,-0.050739771395470125,18.3
NGC3992_rotmod.csv,11.425018054435858,296.5837626899229,-0.048896896955137006,237.0
NGC6195_rotmod.csv,11.636803167417014,214.03437469601948,0.0533871843262336,246.0
F563-V1_rotmod.csv,9.240648687165482,14.667544534511858,0.3637801103403415,27.3
